Date,Open,High,Low,Close,Adj Close,Volume
2022/8/9,93.889999,93.889999,85.599998,87.68,87.68,17411400
2022/8/10,89.980003,95,88,94.139999,94.139999,23818200
2022/8/11,97.25,98.699997,82.309998,84,84,23247300
2022/8/12,85.230003,92.480003,83.290001,90.489998,90.489998,13755200
2022/8/15,89.110001,93.68,88.589996,91.970001,91.970001,11001900
2022/8/16,90.550003,95.5,84.239998,90.389999,90.389999,17034400
2022/8/17,87.510002,88.639999,84.769997,85.440002,85.440002,10697900
2022/8/18,86.330002,86.360001,81.419998,83.470001,83.470001,7923300
2022/8/19,76,78.25,74.010002,74.059998,74.059998,13727900
2022/8/22,70.910004,74.940002,70.290001,71.470001,71.470001,9082400
2022/8/23,71.949997,76.410004,70.599998,71.18,71.18,9598300
2022/8/24,71.879997,74.32,70.709999,71.480003,71.480003,6675500
2022/8/25,71.839996,72.449997,68.519997,71.370003,71.370003,8563500
2022/8/26,71.709999,71.800003,65.339996,66.739998,66.739998,9797300
2022/8/29,65.510002,69.400002,65.459999,66.339996,66.339996,7944100
2022/8/30,67.970001,69.449997,64.629997,67.029999,67.029999,8293500
2022/8/31,68.699997,70.379997,66.660004,66.800003,66.800003,6707900
2022/9/1,65.550003,65.989998,61.91,65.529999,65.529999,8046600
2022/9/2,67.709999,68.139999,63.82,65.260002,65.260002,6392800
2022/9/6,65.559998,66.879997,62.599998,62.779999,62.779999,7478100
2022/9/7,62,68.769997,61.830002,68.25,68.25,8408400
2022/9/8,66.360001,73.330002,65.5,73.080002,73.080002,9241500
2022/9/9,78.199997,81.040001,75.150002,80.870003,80.870003,15357100
2022/9/12,82.599998,84.580002,80.599998,82.550003,82.550003,12554900
2022/9/13,75.339996,78.089996,74.349998,75.25,75.25,11235300
2022/9/14,75.300003,79.199997,74.110001,78.699997,78.699997,10840700
2022/9/15,77.629997,82,76.629997,77.230003,77.230003,10950100
2022/9/16,75.150002,76.370003,73.599998,74,74,17089000
2022/9/19,71.879997,72.540001,67,69.93,69.93,13135300
2022/9/20,68.089996,69.800003,66.169998,67.940002,67.940002,7974500
2022/9/21,68.900002,72.239998,67.43,67.639999,67.639999,12344600
2022/9/22,67.400002,68.980003,62.310001,62.939999,62.939999,11156900
2022/9/23,61.560001,63.150002,59.43,61.880001,61.880001,10932900
2022/9/26,62.98,66.330002,62.18,62.279999,62.279999,9562600
2022/9/27,65.290001,67.550003,61.880001,63.049999,63.049999,11860500
2022/9/28,62.799999,67.739998,62.759998,67.309998,67.309998,8482700
2022/9/29,64.620003,65.029999,60.259998,61.939999,61.939999,11492100
2022/9/30,61.25,67.589996,61.07,64.489998,64.489998,10210300
2022/10/3,64.949997,67.860001,61.919998,65.949997,65.949997,10949200
2022/10/4,69.089996,74.629997,69.080002,74.5,74.5,11881400
2022/10/5,71.800003,73.480003,69.279999,72.970001,72.970001,9222700
2022/10/6,73.07,76.279999,71.339996,73.910004,73.910004,11103700
